"filename", "language", "JSON", "JavaScript", "Markdown", "TypeScript", "CSS", "JSON with Comments", "HTML", "XML", "comment", "blank", "total"
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\body-main\body-main.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\body-main\body-main.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\body-main\body-main.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\header-principal\header-principal.component.css", "CSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\header-principal\header-principal.component.html", "HTML", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\components\header-principal\header-principal.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 5, 26
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\home.component.html", "HTML", 0, 0, 0, 0, 0, 0, 121, 0, 3, 8, 132
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\home\home.component.ts", "TypeScript", 0, 0, 0, 179, 0, 0, 0, 0, 25, 20, 224
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\interfaces\req-response.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 1, 31, 146
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\prueba.component.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\prueba.component.html", "HTML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\prueba.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\prueba.component.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Alejandro\Desktop\Semestre 1-2024\SW1\PrimerParcial\clientep1\src\app\prueba\services\initial.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
